comuna,pobreza_d,pobreza_ext_d,pobreza_multi_4d,pobreza_multi_5d
13403,.033021115,.0052071759,.2135577075726306,.196035875011969
13404,.025394859,0,.1985067821725749,.2028472291633944
13501,.04861936,.002746437,.2048184711245329,.2486613314640653
13502,.043410853,.022148395,.1064737965378231,.1472610860801518
13503,.08490929,.041957818,.1607474838130649,.1942481032358472
13504,.12482317,.041940585,.3782787228693539,.4170968588677925
13505,.03489254,0,.2596279800890752,.3848572177102437
13601,.015218996,.013789983,.1678345171818007,.2015622000383951
13602,.11229154,.027702285,.3591882470119522,.3989666334661355
13603,.085788898,.025549719,.260168324407039,.2906503442999235
13604,.11452504,.043951944,.1911611073800463,.2105999552272219
13605,.041891389,.022317963,.0995282552040379,.1075666105851175
14101,.075317167,.022312818,.1401248705801148,.1395328204413237
14102,.25922573,.15168667,.2527847238008638,.4176808266360505
14103,.19523248,.035011485,.2147109660072979,.2420459637667243
14104,.15607375,.050902888,.2625188916876574,.2856360468010953
14105,.10183853,.030055955,.3534995977473854,.3441673370876911
14106,.15426901,.071286552,.1731944617687414,.2304726996966633
14107,.20907165,.062148061,.2347259782548706,.2534020272162177
14108,.13282114,.014827658,.2917934999846263,.3049784765113232
14201,.13186751,.035252545,.2162502562900911,.2443310158702221
14202,.11716193,.030108653,.3892649248680114,.4071654517948013
14203,.10285781,0,.3517377372442692,.3898200640867636
14204,.16985218,.037573051,.2909123370826638,.3266309851005352
15101,.082197584,.023988262,.2063326280608601,.2100817904931385
15102,.1701553,.1458474,.5757785467128028,.6718433490884538
15201,.16489361,.033687942,.4521912350597609,.4820717131474104
16101,.11564477,.027095297,.1565300308570684,.1718858982383976
16102,.13843854,.025930945,.253330579365899,.3020758029536301
16103,.20895855,.066256508,.2195408699956686,.2409511148709892
16104,.31172782,.1214598,.3133538579949971,.3410621512411006
16105,.27037531,.077725962,.3391702902808791,.381216134858519
16106,.31965151,.15475121,.5020848440899203,.4911089866156788
16107,.19243047,.050550453,.3086136412536757,.2927122358097123
16108,.30372742,.11108889,.2487613542526837,.3296202886366821
16109,.19858882,.066411719,.1631476893245718,.2174926797527383
16201,.16679919,.04488029,.4270122783083219,.4372442019099591
16202,.40118533,.20287213,.4789974472035275,.5391587264699047
16203,.15721917,.045375701,.2566326530612245,.2879008746355685
16204,.25302505,.099827141,.3006864988558353,.3558194774346793
16205,.15507412,.042645384,.2425754335946781,.3342836778332146
16206,.044941232,.025351463,.1661877394636015,.1772030651340996
16207,.19087404,.049485862,.1332007952286282,.185774243428319
16301,.12638506,.032468434,.2165533352801302,.2685926174215444
16302,.22502133,.046645809,.2053856258209796,.2541752674047664
16303,.17411792,.043213423,.1870074038691187,.2879758763663777
16304,.11361502,.030985916,.2672985781990521,.3387820512820513
16305,.12866864,.0084289629,.3659026090630612,.4080490123587198
